BAUD, a unit of data transmission speed of one bit per second [n -S]
BAUK, to refrain from proceedingalso BALK
BAUR, (Scots) a jokeamusing incident
BAWD, a female brothel-keeper [n -S]
BAWK, an Atlantic seabird [n -S]
BAWL, to shout or cry very loudly [v -ED-ING
BAWN, (Irish) in Irelandthe fortification round a house
BAWR, (Scots) a jokeamusing incident
BAYE, (Spenser) to bathe [v BAYEDBAYING
BAYS, BAYto bark or howl [v]
BAYT, (Spenser) to bateabate
BAZZ, to throw (as a stone) [v -ED-ING
BEAD, to adorn with round balls of glasswood or plastic [v -ED
BEAK, a bird's bill [n -S]
BEAL, an infected sorealso BEALING [n -S]
BEAM, to emit a ray of light [v -ED-ING
BEAN, to hit on the head [v -ED-ING
BEAR, to endure [v BOREBORN or BORNE or (archaic) YBORE
BEAT, to strike repeatedly [v BEATEN or BEATYBET
BEAU, (French) a boyfriend [n BEAUS or BEAUX]
BECK, to beckon [v -ED-ING
BEDE, (obsolete) a prayer [n -S]
BEDS, BEDto provide with a receptacle for sleeping [v]
BEDU, a nomadic Arabalso BEDOUIN
BEEF, to grumble [v -ED-ING
BEEN, BEto exist [v]
BEEP, to honk a horn [v -ED-ING
BEER, an alcoholic drink made from malted barley flavoured with hops [n -S]
BEES, BEEa four-winged insect that makes honey [n]
BEET, to improve or mendesp. a fire [v -ED
BEGO, to beset [v BEWENTBEGONE
BEGS, BEGto ask for [v]
BEIN, (Scots) well offcomfortable
BELL, to provide with a ringing device [v -ED-ING
BELS, BELa noise measure [n]
BELT, to thrash with a belt [v -ED-ING
BEMA, (Greek) a platform in a synagoguealso BIMA
BEND, to curve [v -ED-ING
BENE, a prayera boon [n -S]
BENI, the sesame plantalso BENNE
BENJ, (Arabic) cannabisIndian hemp
BENS, BEN(Gaelic) a mountain [n]
BENT, a stiff wiry grassalso BENTGRASS [n -S]
BERE, barleyesp. the six-rowed barley [n -S]
BERG, (South African) a hill or mountain in S. Africa [n -S]
BERK, (colloquial) a foolalso BURK [n -S]
BERM, a narrow shelf or path between the bottom of a parapet and the ditch [n -S] / to provide a bermalso BERME [v -ED
BEST, to outdo [v -ED-ING
BETA, (Greek) a Greek letter [n -S]
BETE, to mendimprove [v BETED
BETH, (Hebrew) the second letter of the Hebrew alphabet [n -S]
BETS, BETto wager [v]
BEVY, a groupesp. of girls [n BEVIES]
BEYS, BEYa Turkish governor [n]
BHAI, (Hindi) brother; a form of address for a man [n -S]
BHAT, a dancer in a Thai troupe [n -S]
BHEL, (Hindi) a thorny Indian treealso BAEL [n -S]
BHUT, (Hindi) a small whirlwindalso BHOOT [n -S]
