DOL,  a unit of pain intensity [n -S]
DOM,  a title given to certain monks [n -S]
DON,  to put on [v DONNEDDONNING
DOO,  (Scots) a dove or pigeon [n -S]
DOP,  to dip [v DOPPEDDOPPING
DOR,  to mock or scoff at
DOS,  DOa party
DOT,  to cover with tiny round marks [v DOTTEDDOTTING
DOW,  to be able [v DOCHT or DOUGHT or DOWEDDOWING
DOX,  to publish personal information about (a person) on the internet [v DOXEDDOXING
DOY,  (Scots) dear, a loved one [n -S]
DRY,  having no moisture [adj DRIER or DRYERDRIEST or DRYEST
DSO,  a cross between a yak and a cowalso DZHO
DUB,  to confer knighthood on [v DUBBEDDUBBING
DUD,  a bomb that fails to explode [n -S]
DUE,  required [adj DULY] / to endue [v DUEDDUING
DUG,  the udder of a female mammal [n -S]
DUH,  an ironic response to a question [interj]
DUI,  DUO two people considered a pair for a specific reason [n]
DUM,  cooked with steam [adj]
DUN,  to make demands for payment of a debt [v DUNNEDDUNNING
DUO,  two people considered a pair for a specific reason [n DUI or DUOS]
DUP,  (Shakespeare) to undo [v DUPPEDDUPPING
DUX,  a leader [n DUCES or DUXES]
DYE,  to change the colour of [v DYEDDYEING
DZO,  a cross between a yak and a cowalso DSO
EAN,  (Shakespeare) to give birth toalso YEAN [v -ED
EAR,  to plough or till [v -ED-ING
EAS,  EA(dialect) a river [n]
EAT,  to consume food [v ATE or (obsolete) ETEATEN
EAU,  (French) a river or water [n EAUS or EAUX]
EBB,  to move back from the landto recede [v -ED
ECH,  (Shakespeare) to eke also ECHE
ECO,  (short for) ecology [n -S]
ECU,  (French) an old French coin [n -S]
EDH,  a letter used in old English also ETH [n -S]
EDS,  ED(short for) education [n]
EEK,  an interjection expressing fright [interj]
EEL,  a snakelike fish [n -S]
EEN,  EE(Scots) an eye [n]
EEW,  an interjection used to express disgustalso EEEW
EFF,  euphemism for fuck [v -ED-ING
EFS,  EFthe letter F [n]
EFT,  a newt also EVET
EGG,  to incite [v -ED-ING
EGO,  the 'I' or self [n -S]
EHS,  EHto say 'Eh'
EIK,  (Scots) to augmentalso ECH
EKE,  to augmentalso ECH
ELD,  (archaic) old agealso EILD [n -S]
ELF,  to entangle (hair) [v -ED-ING
ELK,  a kind of large deer [n -S]
ELL,  an old measure of length equal to 45 inches [n -S]
ELM,  a kind of deciduous tree [n -S]
ELS,  EL(US) an elevated railroad [n]
ELT,  a young sow also GILT
EME,  (obsolete) an uncle [n -S]
EMO,  a type of music combining traditional hard rock with personal and emotional lyricsalso EMOCORE [n -S]
EMS,  EMa unit of measurement in printing [n]
EMU,  a large flightless bird also EMEU [n -S]
END,  to terminate [v -ED-ING
ENE,  a poetic word for evening [n -S]
ENG,  a phonetic symbol representing the sound 'ng'aka agma [n -S]
ENS,  being existence; an entity [n ENTIA]
EON,  a long period of time also AEON [n -S]
ERA,  a main division of geological time [n -S]
ERE,  to plough [v EREDERING
ERF,  (South African) in South Africaa garden plot [n ERVEN]
ERG,  a unit of work [n -S] / a Saharan area of shifting sands [n AREG]
ERK,  (slang) an aircraftsman [n -S]
ERM,  expressing hesitation or doubt [interj]
ERN,  (Milton) to earn [v -ED-ING
ERR,  to make a mistake [v -ED-ING
ERS,  a European vetchalso ERVIL [n -ES]
ESS,  the letter Salso ES [n -ES]
EST,  a programme designed to develop human potential [n -S]
ETA,  a Greek letter [n -S]
ETH,  an Old English letteralso EDH [n -S]
EUK,  (dialect) to itchalso EWK
EVE,  a poetic word for eveningalso EEVEN
EVO,  (Australian slang) evening [n -S]
EWE,  a female sheepalso YOWE [n -S]
EWK,  (dialect) to itchalso EUK
EWT,  (dialect) a newtalso EFT
EXO,  (Australian slang) excellent [adj]
EYE,  the organ of sight [n EYES or (US) EYEN or (obsolete) EINEEYNE or EEN] / to watch closely [v EYED
FAA,  (Scots) to fall [v FELLFAAN
FAB,  excellent [adj FABBERFABBEST] / something fabricated [n -S]
FAD,  a hobby or interest that enjoys brief popularity [n -S]
FAE,  (Scots) from [prep]
FAG,  to make weary by hard work [v FAGGEDFAGGING
FAH,  a musical notealso FA [n -S]
FAN,  to cool with a device for circulating the air [v FANNEDFANNING
FAP,  (Shakespeare) drunk or befuddled [adj]
FAR,  at a great distance [adj FARTHER or FURTHERFARTHEST or FURTHEST] / to remove to a distance [v FARRED
FAS,  FAa musical note
FAT,  to make plump [v FATTEDFATTING
FAW,  a gypsy [n -S]
FAX,  to send messages via a machine that scans electronically [v -ED-ING
FAY,  whimsicalalso FEY [adj FAYER
FED,  (short for) a federal agent [n -S]
FEE,  to pay a fixed charge [v FEEDFEEING
FEG,  (dialect) a segment of an orange [n -S]
FEH,  (Hebrew) a letter of the Hebrew alphabetalso FE
FEM,  a passive homosexual [n -S]
FEN,  wet land with alkalineneutral
FER,  (dialect) for [prep]
FES,  FE(Hebrew) a Hebrew letter
FET,  (obsolete) to fetchalso FETCH
FEU,  (Scots) to grant land to under Scottish feudal law [v -ED-ING
FEW,  a small number [n -S] / not many [adj FEWERFEWEST]
FEY,  foreseeing the futurealso FAY [adj FEYER
FEZ,  a red brimless cap of wool or felt [n FEZES or FEZZES]
FIB,  to tell a trivial lie [v FIBBEDFIBBING
FID,  a conical pin of hard wood [n -S]
FIE,  whimsicalfey [adj FIER
FIG,  to dress up [v FIGGEDFIGGING
FIL,  (Shakespeare) the shaft of a vehicle [n -S]
FIN,  to equip with paddle-like structures [v FINNEDFINNING
FIR,  an evergreen tree [n -S]
FIT,  in a good healthy condition [adj FITTERFITTEST
FIX,  to make firmrepair [v FIXT or FIXED
FIZ,  a sputtering soundalso FIZZ [n FIZZES] / to make a hissing or sputtering sound [v FIZZED
FLU,  a virus disease [n -S]
FLY,  shrewdknowing [adj FLIER or FLYER
FOB,  to cheatalso FUB [v FOBBED
FOE,  an enemy [n FOES or (Spenser) FOEN or FONE]
FOG,  to cover with condensed water vapor [v FOGGEDFOGGING
FOH,  an expression of disgustalso PHOH [interj]
FON,  to foolbe foolish [v FONNED
FOO,  a name for a temporary computer variable or file [n -S]
FOP,  to deceive [v FOPPEDFOPPING
FOR,  directed or sent to [prep]
FOU,  (Scots) drunk [adj FOUERFOUEST] / a bushel [n -S]
FOX,  to outwit [v -ED-ING
FOY,  (Spenser) a parting entertainment or gift [n -S]
FRA,  (Italian) brother [n -S]
FRO,  an African hairstylealso AFRO [n -S]
FRY,  to cook in fat or oil [v FRIEDFRYING
FUB,  to cheatalso FOB [v FUBBED
FUD,  a rabbit's or hare's tail [n -S]
FUG,  to make hotstuffy and close [v FUGGED
FUM,  (Chinese) the fabled Chinese phoenixalso FUNG [n -S]
FUN,  to act playfully [v FUNNEDFUNNING
FUR,  to cover with a dressed animal pelt [v FURREDFURRING
GAB,  to chatter [v GABBEDGABBING
GAD,  to roam about restlessly [v GADDEDGADDING
GAE,  (Scots) to go [v GAEDGANE
GAG,  to stop up the mouth [v GAGGEDGAGGING
GAK,  (slang) cocaine [n -S]
GAL,  a girl [n -S]
GAM,  to visit socially between whaling ships [v GAMMEDGAMMING
GAN,  (dialect) to go [v GANNEDGANNING
GAP,  to make an opening in [v GAPPEDGAPPING
GAR,  (Scots) to cause or compel [v GART or GARREDGARRING
GAS,  a state of matter [n GASES or GASSES] / to poison with gas [v GASSEDGASSING
GAT,  a pistol [n -S]
GAU,  (German) a German political district of the Nazi regime [n -S]
GAW,  an imperfect rainbow or other supposed sign of coming weather [n -S]
GAY,  a homosexual [n -S] / cheerful [adj GAYERGAYEST
GED,  (dialect) a pike [n -S]
GEE,  of horses to urge on
GEL,  to become like a jelly [v GELLEDGELLING
GEM,  to adorn with gems [v GEMMEDGEMMING
GEN,  as in gen upto brief [v GENNED
GEO,  a gully or creekalso GIO
GER,  in Mongoliaanother name for a yurt
GET,  to obtain or acquire [v GOTGOTTEN
GEY,  considerable [adj GEYERGEYEST]
GHI,  a kind of liquid butteralso GHEE [n -S]
GIB,  a wedge-shaped piece of metal [n -S] / to fasten with a gib [v GIBBEDGIBBING
GID,  a disease of sheep [n -S]
GIE,  (Scots) to give [v GIEDGIEN
GIF,  a type of computer image [n -S]
GIG,  to catch fish with a pronged spear [v GIGGEDGIGGING
GIN,  to process cotton [v GINNEDGINNING
GIO,  a gully or creekalso GEO
GIP,  to swindlealso GYP [v GIPPED
GIS,  GI(Japanese) a loose-fitting white suit worn in judo
GIT,  to get [v GITTEDGITTING
GJU,  an old Shetland violalso GUE
GNU,  a kind of African antelope [n -S]
GOA,  a kind of Tibetan gazellegrey-brown with backward-curving horns [n -S]
GOB,  to spit [v GOBBEDGOBBING
GOD,  to treat as a god (a supernatural being) [v GODDEDGODDING
GOE,  a gully or creekalso GEO
GON,  a geometrical grade [n -S]
GOO,  a sticky or viscous substancealso GOOK [n -S]
